image_id,file_name,split,scene_type,viewpoint,has_target,target_count,background_type,privacy_checked
train__IMG_20260418_153102_8702abc2,images/train/IMG_20260418_153102_8702abc2.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_153108_96995032,images/train/IMG_20260418_153108_96995032.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_153125_6f0b3cf8,images/train/IMG_20260418_153125_6f0b3cf8.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_153150_71b965e1,images/train/IMG_20260418_153150_71b965e1.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260418_161602_42ffe168,images/train/IMG_20260418_161602_42ffe168.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_162119_a9067b42,images/train/IMG_20260418_162119_a9067b42.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_095538_17acac37,images/train/IMG_20260419_095538_17acac37.jpg,train,dense_aquatic_vegetation,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_095750_7960a96d,images/train/IMG_20260419_095750_7960a96d.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_095806_6b959f83,images/train/IMG_20260419_095806_6b959f83.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_101109_d55cdca0,images/train/IMG_20260419_101109_d55cdca0.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_101116_a2a79754,images/train/IMG_20260419_101116_a2a79754.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_113057_70853d75,images/train/IMG_20260419_113057_70853d75.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_113124_6490b083,images/train/IMG_20260419_113124_6490b083.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_113205_6698d6b2,images/train/IMG_20260419_113205_6698d6b2.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260419_113229_ae2e9f55,images/train/IMG_20260419_113229_ae2e9f55.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260419_113252_2a42678b,images/train/IMG_20260419_113252_2a42678b.jpg,train,turbid_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260419_113343_20f6b312,images/train/IMG_20260419_113343_20f6b312.jpg,train,turbid_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260419_113352_55b1ce97,images/train/IMG_20260419_113352_55b1ce97.jpg,train,turbid_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260419_113357_12eef47d,images/train/IMG_20260419_113357_12eef47d.jpg,train,distant_small_object,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260419_113417_ef77bfeb,images/train/IMG_20260419_113417_ef77bfeb.jpg,train,normal_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260419_113419_9c842a31,images/train/IMG_20260419_113419_9c842a31.jpg,train,normal_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260419_113453_f07b5c07,images/train/IMG_20260419_113453_f07b5c07.jpg,train,turbid_water,bank_side_oblique,true,5,not_applicable,true
train__IMG_20260419_113531_7ef9a6d4,images/train/IMG_20260419_113531_7ef9a6d4.jpg,train,turbid_water,bank_side_oblique,true,5,not_applicable,true
train__IMG_20260419_113559_db0ebb82,images/train/IMG_20260419_113559_db0ebb82.jpg,train,normal_water,high_angle_imaging,true,8,not_applicable,true
train__IMG_20260419_113614_cfddec05,images/train/IMG_20260419_113614_cfddec05.jpg,train,turbid_water,high_angle_imaging,true,7,not_applicable,true
train__IMG_20260419_113620_664faca8,images/train/IMG_20260419_113620_664faca8.jpg,train,turbid_water,high_angle_imaging,true,7,not_applicable,true
train__IMG_20260419_113627_772806f7,images/train/IMG_20260419_113627_772806f7.jpg,train,turbid_water,bank_side_oblique,true,8,not_applicable,true
train__IMG_20260419_113636_829aa850,images/train/IMG_20260419_113636_829aa850.jpg,train,turbid_water,bank_side_oblique,true,9,not_applicable,true
train__IMG_20260419_113652_c221d316,images/train/IMG_20260419_113652_c221d316.jpg,train,turbid_water,bank_side_oblique,true,10,not_applicable,true
train__IMG_20260419_113725_8bf4280b,images/train/IMG_20260419_113725_8bf4280b.jpg,train,complex_bank_side_background,bank_side_oblique,true,4,not_applicable,true
train__IMG_20260419_113745_50380ca8,images/train/IMG_20260419_113745_50380ca8.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260419_113754_6e84c0ee,images/train/IMG_20260419_113754_6e84c0ee.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260419_113757_fe09d42c,images/train/IMG_20260419_113757_fe09d42c.jpg,train,turbid_water,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260420_075102_32acd380,images/train/IMG_20260420_075102_32acd380.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260420_075120_e7aaf0ae,images/train/IMG_20260420_075120_e7aaf0ae.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260420_075142_c4e381bd,images/train/IMG_20260420_075142_c4e381bd.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260420_115752_330e9343,images/train/IMG_20260420_115752_330e9343.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260420_115803_8b9ea04e,images/train/IMG_20260420_115803_8b9ea04e.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260420_115811_61daf7d4,images/train/IMG_20260420_115811_61daf7d4.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260420_115816_f2ea0c9d,images/train/IMG_20260420_115816_f2ea0c9d.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260421_074758_b15bfcb9,images/train/IMG_20260421_074758_b15bfcb9.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260421_074806_cb691b43,images/train/IMG_20260421_074806_cb691b43.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260424_075115_ebebcb83,images/train/IMG_20260424_075115_ebebcb83.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260424_075125_b2cacfcb,images/train/IMG_20260424_075125_b2cacfcb.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260424_075203_5f511126,images/train/IMG_20260424_075203_5f511126.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260424_075407_40a9585a,images/train/IMG_20260424_075407_40a9585a.jpg,train,strong_reflections,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260424_075413_800c04a0,images/train/IMG_20260424_075413_800c04a0.jpg,train,strong_reflections,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260424_075438_58e8e170,images/train/IMG_20260424_075438_58e8e170.jpg,train,complex_bank_side_background,bank_side_oblique,true,4,not_applicable,true
train__IMG_20260424_075515_c0b0e166,images/train/IMG_20260424_075515_c0b0e166.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260424_075524_332d82b2,images/train/IMG_20260424_075524_332d82b2.jpg,train,strong_reflections,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260424_075543_a1ea802a,images/train/IMG_20260424_075543_a1ea802a.jpg,train,normal_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260424_075609_ee04749c,images/train/IMG_20260424_075609_ee04749c.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260424_075618_58d153a5,images/train/IMG_20260424_075618_58d153a5.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260424_075653_741b73d6,images/train/IMG_20260424_075653_741b73d6.jpg,train,strong_reflections,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260424_075655_47efe7e1,images/train/IMG_20260424_075655_47efe7e1.jpg,train,strong_reflections,bank_side_oblique,true,4,not_applicable,true
train__IMG_20260424_075659_5d2a8a18,images/train/IMG_20260424_075659_5d2a8a18.jpg,train,distant_small_object,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260425_101023_97cd9570,images/train/IMG_20260425_101023_97cd9570.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_101036_d2cdf128,images/train/IMG_20260425_101036_d2cdf128.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_101346_dd547c2e,images/train/IMG_20260425_101346_dd547c2e.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260425_102048_e82ba273,images/train/IMG_20260425_102048_e82ba273.jpg,train,complex_bank_side_background,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260425_102101_aae1edc1,images/train/IMG_20260425_102101_aae1edc1.jpg,train,dense_aquatic_vegetation,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260425_102505_e1da903b,images/train/IMG_20260425_102505_e1da903b.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260425_102521_28b705c2,images/train/IMG_20260425_102521_28b705c2.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_102529_3c87d91f,images/train/IMG_20260425_102529_3c87d91f.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_102842_9eef4917,images/train/IMG_20260425_102842_9eef4917.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_102855_2a546b4d,images/train/IMG_20260425_102855_2a546b4d.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260425_102915_ae996e15,images/train/IMG_20260425_102915_ae996e15.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_103116_9f62060d,images/train/IMG_20260425_103116_9f62060d.jpg,train,complex_bank_side_background,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260425_103203_a9e5f12d,images/train/IMG_20260425_103203_a9e5f12d.jpg,train,complex_bank_side_background,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260425_104219_9eaf49d0,images/train/IMG_20260425_104219_9eaf49d0.jpg,train,normal_water,high_angle_imaging,true,3,not_applicable,true
train__IMG_20260425_104241_e6df963f,images/train/IMG_20260425_104241_e6df963f.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260425_104612_a783d146,images/train/IMG_20260425_104612_a783d146.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,10,not_applicable,true
train__IMG_20260425_104626_68040bc6,images/train/IMG_20260425_104626_68040bc6.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,9,not_applicable,true
train__IMG_20260425_112044_292c9151,images/train/IMG_20260425_112044_292c9151.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_092138_f5b9fa9f,images/train/IMG_20260426_092138_f5b9fa9f.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_092147_7125267d,images/train/IMG_20260426_092147_7125267d.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_092155_f3bc8b28,images/train/IMG_20260426_092155_f3bc8b28.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_092203_a6afbc68,images/train/IMG_20260426_092203_a6afbc68.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_092211_502d5ab0,images/train/IMG_20260426_092211_502d5ab0.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_092249_ee4c87bd,images/train/IMG_20260426_092249_ee4c87bd.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_093033_74806ff8,images/train/IMG_20260426_093033_74806ff8.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_093039_403880be,images/train/IMG_20260426_093039_403880be.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_093044_41a66eee,images/train/IMG_20260426_093044_41a66eee.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_093111_a7e254fb,images/train/IMG_20260426_093111_a7e254fb.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_093123_33737534,images/train/IMG_20260426_093123_33737534.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_093612_9e270708,images/train/IMG_20260426_093612_9e270708.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_093621_4b5411d4,images/train/IMG_20260426_093621_4b5411d4.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_094453_c396e09e,images/train/IMG_20260426_094453_c396e09e.jpg,train,distant_small_object,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_100138_39b4a257,images/train/IMG_20260426_100138_39b4a257.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100253_d021c357,images/train/IMG_20260426_100253_d021c357.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100313_5fbbc1c1,images/train/IMG_20260426_100313_5fbbc1c1.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100320_942b2090,images/train/IMG_20260426_100320_942b2090.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100329_11b43861,images/train/IMG_20260426_100329_11b43861.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100332_c5b93459,images/train/IMG_20260426_100332_c5b93459.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_100503_be560fd1,images/train/IMG_20260426_100503_be560fd1.jpg,train,turbid_water,bank_side_oblique,true,4,not_applicable,true
train__IMG_20260426_100511_56b2ae5e,images/train/IMG_20260426_100511_56b2ae5e.jpg,train,turbid_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260426_100517_28f243cb,images/train/IMG_20260426_100517_28f243cb.jpg,train,turbid_water,bank_side_oblique,true,4,not_applicable,true
train__IMG_20260426_100609_555961a1,images/train/IMG_20260426_100609_555961a1.jpg,train,strong_reflections,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_100855_23d77370,images/train/IMG_20260426_100855_23d77370.jpg,train,distant_small_object,high_angle_imaging,true,3,not_applicable,true
train__IMG_20260426_101351_34097f84,images/train/IMG_20260426_101351_34097f84.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_101358_d58f9d86,images/train/IMG_20260426_101358_d58f9d86.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_101411_530f4c42,images/train/IMG_20260426_101411_530f4c42.jpg,train,turbid_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_101432_e2136892,images/train/IMG_20260426_101432_e2136892.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102049_81fd36d8,images/train/IMG_20260426_102049_81fd36d8.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_102101_744a91de,images/train/IMG_20260426_102101_744a91de.jpg,train,turbid_water,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260426_102111_b16ba750,images/train/IMG_20260426_102111_b16ba750.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_102119_21590da8,images/train/IMG_20260426_102119_21590da8.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_102243_eb17c920,images/train/IMG_20260426_102243_eb17c920.jpg,train,turbid_water,high_angle_imaging,true,7,not_applicable,true
train__IMG_20260426_102251_d5417c3f,images/train/IMG_20260426_102251_d5417c3f.jpg,train,turbid_water,bank_side_oblique,true,9,not_applicable,true
train__IMG_20260426_102254_c27b5cae,images/train/IMG_20260426_102254_c27b5cae.jpg,train,turbid_water,bank_side_oblique,true,7,not_applicable,true
train__IMG_20260426_102304_706161d5,images/train/IMG_20260426_102304_706161d5.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102324_c9245c25,images/train/IMG_20260426_102324_c9245c25.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102345_23a3ea08,images/train/IMG_20260426_102345_23a3ea08.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_102355_c8aff351,images/train/IMG_20260426_102355_c8aff351.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_102402_aa182d74,images/train/IMG_20260426_102402_aa182d74.jpg,train,turbid_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260426_102429_9d04ea55,images/train/IMG_20260426_102429_9d04ea55.jpg,train,turbid_water,bank_side_oblique,true,6,not_applicable,true
train__IMG_20260426_102435_46350abe,images/train/IMG_20260426_102435_46350abe.jpg,train,turbid_water,bank_side_oblique,true,5,not_applicable,true
train__IMG_20260426_102444_f06b7e20,images/train/IMG_20260426_102444_f06b7e20.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102744_a6c8af32,images/train/IMG_20260426_102744_a6c8af32.jpg,train,turbid_water,bank_side_oblique,true,5,not_applicable,true
train__IMG_20260426_102757_385e3946,images/train/IMG_20260426_102757_385e3946.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102817_5eca4104,images/train/IMG_20260426_102817_5eca4104.jpg,train,turbid_water,bank_side_oblique,true,6,not_applicable,true
train__IMG_20260426_102820_be5bef50,images/train/IMG_20260426_102820_be5bef50.jpg,train,turbid_water,bank_side_oblique,true,5,not_applicable,true
train__IMG_20260426_102835_70123eb8,images/train/IMG_20260426_102835_70123eb8.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_102938_bdaada7b,images/train/IMG_20260426_102938_bdaada7b.jpg,train,turbid_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260426_111639_170e619b,images/train/IMG_20260426_111639_170e619b.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_111646_88560f22,images/train/IMG_20260426_111646_88560f22.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_112618_5643d322,images/train/IMG_20260426_112618_5643d322.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_112645_d07e8321,images/train/IMG_20260426_112645_d07e8321.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114659_55646b9d,images/train/IMG_20260426_114659_55646b9d.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114704_408eafeb,images/train/IMG_20260426_114704_408eafeb.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114709_71381060,images/train/IMG_20260426_114709_71381060.jpg,train,dense_aquatic_vegetation,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114713_b77d2d86,images/train/IMG_20260426_114713_b77d2d86.jpg,train,dense_aquatic_vegetation,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114753_d720ba65,images/train/IMG_20260426_114753_d720ba65.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260426_114803_e3733c02,images/train/IMG_20260426_114803_e3733c02.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114808_7d5a9164,images/train/IMG_20260426_114808_7d5a9164.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114824_2ee7abac,images/train/IMG_20260426_114824_2ee7abac.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260426_114826_11da7dcf,images/train/IMG_20260426_114826_11da7dcf.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_114950_9074f0fe,images/train/IMG_20260427_114950_9074f0fe.jpg,train,distant_small_object,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260427_114957_900d7116,images/train/IMG_20260427_114957_900d7116.jpg,train,complex_bank_side_background,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260427_115013_424b50d0,images/train/IMG_20260427_115013_424b50d0.jpg,train,normal_water,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260427_115025_488390b7,images/train/IMG_20260427_115025_488390b7.jpg,train,strong_reflections,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260427_115114_ac118c10,images/train/IMG_20260427_115114_ac118c10.jpg,train,strong_reflections,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_115223_fc961c32,images/train/IMG_20260427_115223_fc961c32.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_115333_eaa4842e,images/train/IMG_20260427_115333_eaa4842e.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_115350_d9cc5229,images/train/IMG_20260427_115350_d9cc5229.jpg,train,turbid_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_115354_d116602c,images/train/IMG_20260427_115354_d116602c.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_120316_666d675e,images/train/IMG_20260427_120316_666d675e.jpg,train,normal_water,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260427_120324_3035f6e0,images/train/IMG_20260427_120324_3035f6e0.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260427_120730_15444317,images/train/IMG_20260427_120730_15444317.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_120750_f51940ab,images/train/IMG_20260427_120750_f51940ab.jpg,train,strong_reflections,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_121212_d59d9088,images/train/IMG_20260427_121212_d59d9088.jpg,train,normal_water,high_angle_imaging,true,2,not_applicable,true
train__IMG_20260427_121305_840151b9,images/train/IMG_20260427_121305_840151b9.jpg,train,distant_small_object,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_121321_cf11045f,images/train/IMG_20260427_121321_cf11045f.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_180757_e1cc769b,images/train/IMG_20260427_180757_e1cc769b.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_181041_6c1d2efc,images/train/IMG_20260427_181041_6c1d2efc.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_181052_3e2dc1f0,images/train/IMG_20260427_181052_3e2dc1f0.jpg,train,normal_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260427_181304_5cbedef5,images/train/IMG_20260427_181304_5cbedef5.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_181356_cfb3ca5a,images/train/IMG_20260427_181356_cfb3ca5a.jpg,train,complex_bank_side_background,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260427_182559_17f79ebf,images/train/IMG_20260427_182559_17f79ebf.jpg,train,strong_reflections,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_182742_2441a280,images/train/IMG_20260427_182742_2441a280.jpg,train,normal_water,bank_side_oblique,true,3,not_applicable,true
train__IMG_20260427_182800_f8db2a7d,images/train/IMG_20260427_182800_f8db2a7d.jpg,train,normal_water,bank_side_oblique,true,2,not_applicable,true
train__IMG_20260427_182906_bab0e7d8,images/train/IMG_20260427_182906_bab0e7d8.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_183011_fe503d89,images/train/IMG_20260427_183011_fe503d89.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260427_183653_13513ef2,images/train/IMG_20260427_183653_13513ef2.jpg,train,normal_water,high_angle_imaging,true,3,not_applicable,true
train__IMG_20260427_184019_5fd6388d,images/train/IMG_20260427_184019_5fd6388d.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075532_672263cd,images/train/IMG_20260428_075532_672263cd.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075538_e248b7fb,images/train/IMG_20260428_075538_e248b7fb.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075707_3309256a,images/train/IMG_20260428_075707_3309256a.jpg,train,strong_reflections,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075721_6c44e414,images/train/IMG_20260428_075721_6c44e414.jpg,train,normal_water,high_angle_imaging,true,1,not_applicable,true
train__IMG_20260428_075850_a058ff2b,images/train/IMG_20260428_075850_a058ff2b.jpg,train,strong_reflections,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075901_d4037225,images/train/IMG_20260428_075901_d4037225.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260428_075936_fd854211,images/train/IMG_20260428_075936_fd854211.jpg,train,turbid_water,high_angle_imaging,true,2,not_applicable,true
